trial_number,site_name,initial_set_date,initial_set_time,experiment_set_date,experiment_set_time,exp_set_lat_1,exp_set_lon_1,exp_set_depth_1,exp_set_lat_2,exp_set_lon_2,exp_set_depth_2,exp_set_temp_air,exp_set_temp_0m,exp_set_sal_0m,exp_set_temp_10m,exp_set_sal_10m,exp_set_tote_temp,exp_set_tote_sal,cloud_cover_percent,experiment_haul_date,experiment_haul_time,exp_haul_lat_1,exp_haul_lon_1,exp_haul_depth_1,exp_haul_lat_2,exp_haul_lon_2,exp_haul_depth_2,exp_haul_temp_air,exp_haul_temp_0m,exp_haul_sal_0m,exp_haul_temp_10m,exp_haul_sal_10m,exp_haul_tote_temp,exp_haul_tote_sal,immediate_release_number,30min_number,1h_number,1h30min_numner,2h_number,bags_out_of_water_time,last_trap_set_time,total_end_process_time,comments
9,deep_harbour_head,3/6/2022,14:15,4/6/2022,11:39,50 47.727,126 35.109,33,50 47.746,126 35.218,33,13.6,12,26.2,9.2,30.7,,,,5/6/2022,11:36,50 47.698,126 35.250,31,50 47.706,126 35.114,32,15,11.6,26.6,9.6,30.5,,,39,39,39,39,0,13:59,14:07,0:08,Wind picked up for reflex assessment for traps 5 and 6. May have affected reflexes.
4,blunden_passage_1,28/5/2022,12:25,29/5/2022,13:13,50 44.747,126 37.340,36,50 44.677,126 37.268,35,10.7,9.1,31.3,8.7,31.7,,,50,30/5/2022,7:40,50 44.694,126 37.350,30,50 44.646,126 37.279,31,12.3,9,30.8,8.8,31.5,,,60,60,63,60,0,13:04,13:13,0:09,"Two prawns found in tote at end of experiment, will not have a trap associated"
5,burdwoods,28/5/2022,8:50,30/5/2022,12:39,50 47.937,126 27.282,34,50 47.987,126 27.148,42,13,10.2,28.6,9,30.4,,,,31/5/2022,7:40,50 48.125,126 26.962,49,50 48.179,126 26.887,44,13.1,10.1,28.9,8.3,31.5,,,40,40,40,40,0,12:33,12:39,0:06,May have lost some small banded prawns during experiment set up. Need to check data between start and end for how many were lost. 
6,blunden_passage_2,29/5/2022,13:30,31/5/2022,12:18,50 44.795,126 37.294,30,50 44.700,126 37.210,36,14.1,9.2,31.3,8.7,31.7,,,,1/6/2022,8:50,50 44.679,126 37.277,34,50 44.713,126 37.312,34,14.5,9.4,31,8.7,31.7,,,36,36,35,35,0,12:11,12:18,0:07,"Two prawns fell out of bags before release, one from 1 hour treatment, one from 1 hour 30 min treatment. Found a rostrum with a yellow band (1 hour 30 treatment) on side of boat after hauling at the end of experiment - not counted in final data as couldn't be assigned to a trap."
22,deep_harbour_mouth,25/6/2022,8:30,27/6/2022,11:00,50 48.012,126 37.051,49,50 48.043,126 36.948,45,25.4,15.2,19.7,10,29,12.9,25.4,,28/6/2022,7:24,50 47.999,126 37.088,42,50 48.030,126 37.008,50,13.4,15,22.8,9.3,30.4,13.2,24.7,70,70,70,70,70,13:45,13:52,0:07,
1,false_cove,22/5/2022,8:30,23/5/2022,7:45,50 43.988,126 34.160,27,50 43.913,126 34.031,26,12.9,9.8,31.2,8.5,31.7,,,100,24/5/2022,,50 43.967,126 34.134,31,50 43.909,126 34.003,28,11,9.8,30.2,8.4,31.8,,,80,76,81,80,0,9:47,9:54,0:07,
2,john_island,,,26/5/2022,8:00,50 46.577,126 37.073,27,50 46.629,126 37.071,30,12.9,9.8,29.9,8.8,31.2,,,25,27/5/2022,7:41,50 46.622,126 37.028,30,50 46.595,126 37.079,31,13.3,9.8,29.6,9,30.8,,,37,55,55,55,0,10:14,10:21,0:07,Accidentally tossed the bag for trap #2 over the side of the boat after collecting survival data at end of experiment. No reflex behaviours collected for trap #2.
8,misty_passage_south,2/6/2022,9:50,3/6/2022,10:00,50 44.614,126 38.686,32,50 44.584,126 38.854,34,12.8,9.6,30.3,9.4,30.8,,,,4/6/2022,7:44,50 44.588,126 38.815,33,50 44.546,126 38.936,20,13.3,10,29.6,9.1,31.3,,,70,70,70,70,0,12:08,12:17,0:09,"Forgot to set timer at first. Was unable to assign one prawn to trap: stage 2, 41.6 mm, pink band, alive."
7,misty_passage ,31/5/2022,12:30,2/6/2022,6:34,50 44.711,126 38.542,37,50 44.694,126 38.698,36,14.3,9.1,31.4,8.1,31.7,,,100,3/6/2022,12:41,50 44.652,126 38.929,32,50 44.603,126 39.031,32,13.2,9.6,30.5,8.9,31.6,,,50,50,50,50,50,9:27,9:39,0:12,"At trial end, one pink (30 min) and one orange (90 min) rostrum found on tote after hauling but unable to assign to trap. "
3,nw_john_island,26/5/2022,10:40,28/5/2022,9:20,50 46.749,126 36.943,24,50 46.673,126 37.049,27,15.2,9.2,30.4,8.6,31.3,,,0,29/5/2022,,50 46.671,126 37.061,22,50 46.627,126 37.054,31,11.3,9.5,29.7,9.3,30.6,,,40,78,79,82,0,11:35,11:43,0:08,"During trial start, lost one blue (0 min) and one yellow (60 min) at end of experiment before setting it back down. "